pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
19.470833,very low,371.875,476.5320213,4.0208335,10.466666,51.708332,531,13.691667,25/06/2024
11.150001,very low,378.5,476.5320213,4.2083335,13.341666,32.958332,429,7.820833,26/06/2024
11.345833,very low,406.70834,476.5320213,3.2708333,13.920834,30,317,7.9208336,27/06/2024
17.270834,very low,515.5,476.5320213,4.1375003,16.925001,33.416668,396,12.170834,28/06/2024
12.966667,very low,368.79166,476.5320213,3.1958332,11.845833,34.541668,151,9.166667,29/06/2024
13.304166,very low,415.29166,476.5320213,2.9708335,12.404167,31.291666,79,9.25,30/06/2024
11.991666,very low,464.91666,476.5320213,4.1041665,11.958333,29.083334,474,8.224999,01/07/2024
17.116667,very low,615.4583,476.5320213,5.495833,16.845833,31.583334,422,11.583333,02/07/2024
12.958333,very low,338.75,476.5320213,3.0791667,11.087501,34.375,384,8.766666,03/07/2024
16.354166,very low,415.20834,476.5320213,4.4083333,14.258334,40.333332,374,11.420834,04/07/2024
18.416666,very low,420.125,476.5320213,3.7749999,12.820834,44.166668,394,12.891666,05/07/2024
15.029167,very low,361.875,476.5320213,3.1875,10.925,44.708332,155,10.5,06/07/2024
11.283333,very low,349.54166,476.5320213,3.3333333,10.9375,45.875,96,7.9208336,07/07/2024
11.587501,very low,332.83334,476.5320213,2.5041666,10.8875,35.875,566,8.170834,08/07/2024
20.979166,very low,528.9167,476.5320213,4.3458333,17.020834,36.416668,435,14.854167,09/07/2024
20.362501,very low,520.875,476.5320213,4.133333,15.662499,39.916668,378,14.370833,10/07/2024
16.775,very low,618.7083,476.5320213,5.875,18.112501,35.041668,327,11.712501,11/07/2024
16.5625,very low,692.375,476.5320213,6.7791667,20.875,30.083334,347,11.712501,12/07/2024
14.183333,very low,413.25,476.5320213,3.7458334,14.25,34.916668,143,9.9875,13/07/2024
14.833333,very low,597.5,476.5320213,5.3083334,17.108334,38.333332,90,10.454166,14/07/2024
18.4125,very low,569.7083,476.5320213,4.4500003,17.0375,41.291668,774,12.979167,15/07/2024
15.354167,very low,467.08334,476.5320213,4,14.720833,40.208332,450,10.770833,16/07/2024
22.591667,low,637.3333,476.5320213,7.2708335,21.254168,52.291668,396,15.820834,17/07/2024
17.570833,very low,508.5,476.5320213,5.116667,17.166666,38.708332,385,12.316667,18/07/2024
14.375,very low,507.70834,476.5320213,4.0625,15.720833,31.875,396,10.083333,19/07/2024
12.645833,very low,403.125,476.5320213,3.5874999,13.545834,33.5,110,8.875,20/07/2024
13.154167,very low,547.7083,476.5320213,4.3958335,16.845835,34.625,78,9.204166,21/07/2024
15.158333,very low,521.375,476.5320213,4.4791665,15.854167,35,76,10.620833,22/07/2024
12.654167,very low,588.5,476.5320213,4.545833,14.4375,31.416666,449,8.841666,23/07/2024
12.133334,very low,432.91666,476.5320213,3.3666668,13.0125,38.166668,431,8.454166,24/07/2024
6.9500003,very low,326.375,476.5320213,2.5833333,10.541667,34.583332,384,4.8624997,25/07/2024
8.704166,very low,329.75,476.5320213,2.7333333,10.491667,37,423,6.0958333,26/07/2024
10.05,very low,352.625,476.5320213,2.8958333,11.716667,33.041668,102,7.0416665,27/07/2024
9.629167,very low,338.66666,476.5320213,2.8208332,11.325,36.166668,122,6.754167,28/07/2024
11.354167,very low,376.41666,476.5320213,3.2124999,12.925,28.166666,89,7.9708333,29/07/2024
10.541667,very low,384.54166,476.5320213,3.4375,13.454166,26.833334,470,7.245833,30/07/2024
8.912499,very low,314.41666,476.5320213,2.4708333,9.695833,33.041668,421,6.2666664,31/07/2024
8.05,very low,408.16666,476.5320213,3.3166666,13.808333,22.166666,297,5.6458335,01/08/2024
12.029167,very low,551.2083,476.5320213,4.2374997,17.658333,24.25,407,8.408334,02/08/2024
14.754167,very low,485,476.5320213,3.9916668,14.133334,30.166666,245,10.379167,03/08/2024
15.141666,very low,424.25,476.5320213,3.1458333,12.875,36.166668,109,10.6125,04/08/2024
16.245832,very low,440.16666,476.5320213,3.7291667,14.441667,35.25,648,11.474999,05/08/2024
17.258333,very low,457.45834,476.5320213,4.4083333,15.141666,36.541668,463,12.345833,06/08/2024
18.199999,very low,473.83334,476.5320213,4.1875,15.587501,35.625,319,13.208333,07/08/2024
23.2125,low,873.0833,476.5320213,7.866667,23.025,32.375,368,16.645834,08/08/2024
21.695833,low,673.125,476.5320213,5.6875,16.316668,36.041668,371,15.3,09/08/2024
17.066668,very low,607.2083,476.5320213,5.616667,14.016666,32.041668,191,11.912499,10/08/2024
19.770834,very low,720.9583,476.5320213,6.491667,16.720833,29.416666,127,13.583333,11/08/2024
24.7125,low,609.75,476.5320213,5.6416664,20.45,31.375,76,17.487501,12/08/2024
16.783333,very low,572.625,476.5320213,4.9166665,19.275,30.541666,558,11.820834,13/08/2024
17.137499,very low,570.0417,476.5320213,4.65,17.166666,32.041668,315,12.016666,14/08/2024
17.85,very low,568.25,476.5320213,4.358333,15.295834,24.958334,390,12.720833,15/08/2024
17.4625,very low,527.2083,476.5320213,4.6583333,17.808332,29.958334,418,12.304166,16/08/2024
16.570833,very low,500.54166,476.5320213,4.3958335,16.520834,32.875,120,11.666667,17/08/2024
14.175,very low,486,476.5320213,4.25,17.012499,28.583334,134,9.920834,18/08/2024
19.658335,very low,625.375,476.5320213,5.5208335,19.283333,33.25,651,13.787499,19/08/2024
23.391668,low,679.5833,476.5320213,5.9125,22.429167,31.416666,521,16.429167,20/08/2024
17.625,very low,784.375,476.5320213,6.9125,26.795832,19.125,474,12.354167,21/08/2024
13.6125,very low,423.29166,476.5320213,3.8083334,14.05,27.833334,301,9.570833,22/08/2024
13.162499,very low,495.29166,476.5320213,4.1749997,14.875,21.416666,463,9.229167,23/08/2024
15.412499,very low,531.2083,476.5320213,4.5125003,18.204166,31.125,138,10.808333,24/08/2024
20.595835,very low,747.875,476.5320213,6.995833,21.800001,28.833334,149,14.429168,25/08/2024
20.550001,very low,679.75,476.5320213,5.875,23.258333,30.583334,645,14.516666,26/08/2024
21.5875,low,568.6667,476.5320213,5.554167,18.816668,39.666668,454,15.212501,27/08/2024
16.487501,very low,484.5,476.5320213,4.295833,15.712501,34.833332,485,11.616666,28/08/2024
15.75,very low,438.75,476.5320213,4.1041665,15.629167,30.125,357,11.091667,29/08/2024
17.258333,very low,546.4583,476.5320213,4.1458335,16.695833,35.5,459,12.045834,30/08/2024
18.8625,very low,587.375,476.5320213,4.920833,18.629168,39.291668,144,13.158333,31/08/2024
