tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
66.65,79,20.583334,very low,680.7917,476.5320213,1.8625001,16.699999,55.916668,14,07/06/2023,14.295834
65.16,81,20.3125,very low,847.125,476.5320213,1.7458334,19.766666,51.25,20,08/06/2023,14.208333
66.24,77,20.829166,very low,869.625,476.5320213,1.7916666,18.220833,59.125,13,09/06/2023,14.5125
65.97,74,29.716667,low,1225.4166,476.5320213,2.1791666,24.041666,62.625,19,10/06/2023,20.679167
67.96,70,22.512499,low,1010.0833,476.5320213,2.3458333,22.387499,57.166668,18,11/06/2023,15.695834
66.88,74,20.566668,very low,775.4167,476.5320213,1.6833334,16.958334,64.916664,12,12/06/2023,14.279167
65.98,77,11.145833,very low,471.54166,476.5320213,0.8458333,12.075,49.416668,20,13/06/2023,7.808333
65.75,74,13.075,very low,631.6667,476.5320213,1.25,15.104167,49.041668,32,14/06/2023,9.150001
64.96,79,20.1,very low,935.2083,476.5320213,2.0291667,19.745832,55.666668,14,15/06/2023,14.070834
66.69,75,20.870832,very low,951.75,476.5320213,2.0375001,17.045834,52.166668,14,16/06/2023,14.429166
67.84,73,16.945833,very low,818.125,476.5320213,1.9625,15.9375,44.875,17,17/06/2023,11.666667
69.4,68,17.104166,very low,766.9583,476.5320213,1.775,15.1875,53.166668,14,18/06/2023,11.891666
68.2,72,17.008333,very low,834.375,476.5320213,1.8833333,14.541667,43.791668,16,19/06/2023,11.820834
67.62,71,13.933333,very low,535.1667,476.5320213,1.6333333,12.2375,47.291668,15,20/06/2023,9.729167
66.6,73,15.733334,very low,958.7083,476.5320213,2.4041667,15.016666,37.958332,21,21/06/2023,10.962501
66.33,69,15.570834,very low,956.0417,476.5320213,2.5,15.170834,40,16,22/06/2023,10.891666
66.04,73,13.95,very low,748.5,476.5320213,1.8874999,11.591667,33.083332,18,23/06/2023,9.758333
67.12,71,16.954166,very low,1014.125,476.5320213,2.2166667,14.091667,34.708332,15,24/06/2023,11.866666
65.77,76,16.745832,very low,703.4167,476.5320213,2.1499999,18.6875,35.125,15,25/06/2023,11.741666
65.7,73,17.783333,very low,835.9167,476.5320213,1.65,23.762499,37.416668,16,26/06/2023,12.470833
66.78,72,17.716667,very low,458.875,476.5320213,2.8374999,12.595833,40.5,16,27/06/2023,12.616666
66.96,74,16.574999,very low,390.41666,476.5320213,3.2791665,11.849999,37.958332,12,28/06/2023,11.775001
67.19,76,19.7875,very low,418.16666,476.5320213,3.2875001,11.675,42.916668,12,29/06/2023,13.916667
67.14,74,21.470833,very low,561.7917,476.5320213,5.445833,14.099999,38.166668,11,30/06/2023,14.8
68.63,72,20.904167,very low,322.125,476.5320213,2.4875,9.233334,41.458332,9,01/07/2023,14.037499
69.22,71,14.258334,very low,315.20834,476.5320213,2.3875,8.5125,37.5,16,02/07/2023,9.829166
68.02,71,8.383333,very low,287,476.5320213,2.1416667,8.370833,31.458334,17,03/07/2023,5.870833
66.29,76,8.095834,very low,301.875,476.5320213,2.0125,8.520833,28.041666,23,04/07/2023,5.6749997
65.68,79,9.220834,very low,347.29166,476.5320213,2.5041666,9.349999,30.125,15,05/07/2023,6.4583335
64.71,75,13.308333,very low,525.2083,476.5320213,4.9458337,9.9375,31.833334,25,06/07/2023,9.379167
65.73,75,13.95,very low,442.25,476.5320213,3.8374999,10.087501,35.291668,12,07/07/2023,9.866667
