tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
65.68,79,9.220834,very low,347.29166,476.5320213,2.5041666,9.349999,30.125,191,6.4583335,2023/07/05
64.71,75,13.308333,very low,525.2083,476.5320213,4.9458337,9.9375,31.833334,138,9.379167,2023/07/06
65.73,75,13.95,very low,442.25,476.5320213,3.8374999,10.087501,35.291668,153,9.866667,2023/07/07
68.94,69,17.991667,very low,300.875,476.5320213,2.7250001,8.270833,48.875,47,12.858334,2023/07/08
66.83,76,18.733334,very low,335.25,476.5320213,4.5666666,9.133333,54.666668,64,13.345833,2023/07/09
67.3,76,16.125,very low,411.75,476.5320213,3.7083333,13.383334,42.458332,226,11.325,2023/07/10
66.42,75,12.254167,very low,329.16666,476.5320213,2.3958333,9.433333,28.666666,196,8.775001,2023/07/11
65.68,76,13.295834,very low,658.1667,476.5320213,6.120833,14.258334,27.625,203,9.337501,2023/07/12
65.95,75,11.337501,very low,557.2083,476.5320213,4.7833333,11.229167,31.791666,123,7.9249997,2023/07/13
66.6,70,12.4375,very low,507.79166,476.5320213,3.9375,10.741666,34.416668,147,8.8875,2023/07/14
65.75,75,10.375,very low,422.375,476.5320213,3,9.104167,32.708332,43,7.3583336,2023/07/15
66.65,75,10.349999,very low,376.25,476.5320213,2.5208333,9.191667,28.958334,36,7.3333335,2023/07/16
67.12,74,17.8125,very low,370.70834,476.5320213,2.6333334,10.045834,47.75,233,12.337501,2023/07/17
66.45,76,14.908333,very low,368.41666,476.5320213,2.425,8.5625,46.625,281,10.254167,2023/07/18
68.11,74,17.729166,very low,361.75,476.5320213,2.7083333,10.05,44.958332,197,12.345833,2023/07/19
68.65,72,18.495832,very low,549,476.5320213,3.9833333,15.0125,38.083332,124,12.95,2023/07/20
66.67,75,17.358334,very low,367.08334,476.5320213,3.0375001,9.870833,52.875,175,12.133334,2023/07/21
65.97,79,16.800001,very low,371.66666,476.5320213,3.7749999,9.116667,65.916664,59,11.770833,2023/07/22
67.86,73,25,low,519.6667,476.5320213,5.6375003,14.849999,67.041664,45,17.508333,2023/07/23
69.71,69,22.741667,low,569.7917,476.5320213,4.35,13.729167,59.708332,238,15.941667,2023/07/24
67.91,72,21.375,low,571.5417,476.5320213,4.5875,18.4,41.625,313,15.0125,2023/07/25
67.42,73,10.4875,very low,381.5,476.5320213,3.4583333,9.575,33.5,192,7.4708333,2023/07/26
68.5,69,7.6583333,very low,264.91666,476.5320213,2.0833333,7.5291667,34.625,151,5.4125,2023/07/27
